event_ts,io_avg_MBps_pmW,mode
1759910264.0810602,1.493,index
1759910265.2057788,1.493,index
1759910293.391017,1.493,index
1759910529.5559602,1.493,index
1759910530.665189,1.493,index
1759910544.887541,1.493,index
1759910546.004565,1.493,index
1759910593.7803679,1.493,index
